andrus|    Sosista omas keeles 1 sõna 
andrus|    Sosista omas keeles 2 sõna 
andrus|    Sosista omas keeles 3 sõna 
andrus|    Sosista omas keeles 4 sõna 
andrus|    Sosista omas keeles 5 sõna 
andrus|    Sosista omas keeles 6 sõna 
andrus|    Sosista omas keeles 7 sõna 
andrus|    Mängi benini kellal 1 heli 
andrus|    Mängi benini kellal 2 heli 
andrus|    Mängi benini kellal 3 heli 
andrus|    Mängi benini kellal 4 heli 
andrus|    Mängi benini kellal 5 heli 
andrus|    Mängi benini kellal 6 heli 
andrus|    Mängi benini kellal 7 heli 
andrus|    Mängi benini helistajat 1 sekund 
andrus|    Mängi benini helistajat 2 sekundit 
andrus|    Mängi benini helistajat 3 sekundit 
andrus|    Mängi 1. kõneleva trummiga 1 heli 
andrus|    Mängi 1. kõneleva trummiga 2 heli 
andrus|    Mängi 1. kõneleva trummiga 3 heli 
andrus|    Mängi 1. kõneleva trummiga 4 heli 
andrus|    Mängi 1. kõneleva trummiga 5 heli 
andrus|    Mängi klaveril 1-heliline meloodia 
andrus|    Mängi klaveril 2-heliline meloodia 
andrus|    Mängi klaveril 3-heliline meloodia 
andrus|    Mängi klaveril 4-heliline meloodia 
andrus|    Mängi klaveril 5-heliline meloodia 
andrus|    Mängi klaveril 1 akord 
andrus|    Mängi klaveril 2 akordi 
andrus|    Mängi klaveril 3 akordi 
gerhard|    Sosista omas keeles 1 sõna 
gerhard|    Sosista omas keeles 2 sõna 
gerhard|    Sosista omas keeles 3 sõna 
gerhard|    Sosista omas keeles 4 sõna 
gerhard|    Sosista omas keeles 5 sõna 
gerhard|    Sosista omas keeles 6 sõna 
gerhard|    Sosista omas keeles 7 sõna 
gerhard|    Mängi benini kellal 1 heli 
gerhard|    Mängi benini kellal 2 heli 
gerhard|    Mängi benini kellal 3 heli 
gerhard|    Mängi benini kellal 4 heli 
gerhard|    Mängi benini kellal 5 heli 
gerhard|    Mängi benini kellal 6 heli 
gerhard|    Mängi benini kellal 7 heli 
gerhard|    Mängi klaasidel 1 heli 
gerhard|    Mängi klaasidel 2 heli 
gerhard|    Mängi rattapasunal 1 heli 
gerhard|    Mängi rattapasunal 2 heli 
gerhard|    Mängi viiulil 1 heli 
gerhard|    Mängi viiulil 2 heli 
gerhard|    Mängi viiulil 3 heli 
